"Original","Translated"
"- Align Columns -",
"- Align Grid -",
"- Align Rows -",
"- Animations -",
"- Attachment -",
"- Blend mode -",
"- Blend Mode -",
"- Child Tag -",
"- Combinator -",
"- Decoration Style -",
"- Direction -",
"- Enctype -",
"- Fill mode -",
"- Font -",
"- Form Method -",
"- HTML Tag -",
"- Kind -",
"- Method -",
"- Origin -",
"- Play state -",
"- Position -",
"- Preload -",
"- Property -",
"- Pseudo class -",
"- Pseudo element -",
"- Relation -",
"- Repeat -",
"- Repeat Horizontal -",
"- Repeat Vertical -",
"- Size -",
"- Style -",
"- Timing -",
"- Type -",
"- Weight -",
"-- Parent folder --",
"-- Type --",
"<span class=""error"">{{count}} element(s) have been ignored</span>",
"<span class=""error"">Image is empty</span>",
"Abbreviation",
"About",
"Absolute/Relative",
"Accept file extensions",
"Action",
"Add Animation",
"Add attribute",
"Add Background",
"Add child tag",
"Add color",
"Add Column",
"Add combinator",
"Add component class",
"Add component to canvas",
"Add custom",
"Add Effect",
"Add element",
"Add group",
"Add option",
"Add property",
"Add Property",
"Add pseudo class",
"Add pseudo element",
"Add responsive",
"Add responsive width",
"Add Row",
"Add selector",
"Add Selector",
"Add track",
"Address",
"Adjacent sibling",
"AdobeXD drawn paths are mostly ignored except polygons.",
"Advanced",
"Advanced CSS",
"After",
"After you include the component, you will be able to add content to this children element.",
"Align baseline",
"Align bottom",
"Align center",
"Align justify",
"Align left",
"Align right",
"Align stretch",
"Align top",
"All borders",
"All Children",
"All Elements",
"All Files",
"All properties",
"Alternate",
"Alternate in reverse",
"Amount",
"Angle",
"Animate",
"Animate motion",
"Animate transform",
"Animation",
"Animation path",
"Any link",
"Arrow Down",
"Arrow Up",
"Article",
"As an example, please have a look at <a class=""desech-external-link"" href=""https://download.desech.com/font/Roboto+Mono.zip"">this file</a>",
"Asian pronunciation",
"Attention",
"Attribute name",
"Attribute value",
"Audio",
"Audio tool",
"Authenticating User...",
"Author",
"Auto",
"Autoplay",
"Background",
"Background pan",
"Background pan bottom",
"Background pan bottom left",
"Background pan bottom right",
"Background pan left",
"Background pan right",
"Background pan top",
"Background pan top left",
"Background pan top right",
"Backwards",
"Baseline",
"Basic",
"Before",
"Bidirectional text override",
"Black",
"Blend mode",
"Blend Mode",
"Blink",
"Blink 1",
"Blink 2",
