"Original","Translated"
"- Align -",
"- Animations -",
"- Attachment -",
"- Blend mode -",
"- Blend Mode -",
"- Child Tag -",
"- Color -",
"- Columns align -",
"- Combinator -",
"- Content align -",
"- Default -",
"- Direction -",
"- Enctype -",
"- Fill mode -",
"- Font -",
"- Form Method -",
"- HTML Tag -",
"- Kind -",
"- Line color -",
"- Line style -",
"- Method -",
"- Origin -",
"- Play state -",
"- Preload -",
"- Property -",
"- Pseudo class -",
"- Pseudo element -",
"- Relation -",
"- Repeat -",
"- Repeat Horizontal -",
"- Repeat Vertical -",
"- Rows align -",
"- Self align -",
"- Shape -",
"- Size -",
"- Style -",
"- Timing -",
"- Transform -",
"- Type -",
"- Weight -",
"-- Parent folder --",
"-- Type --",
"<span class=""error"">{{count}} ignored element(s): {{elements}}</span>",
"<span class=""error"">Image is empty</span>",
"<span class=""error"">Local font <b>{{font}}</b> is ignored</span>",
"<span class=""error"">There are no valid top level visible elements to be imported</span>",
"1st Linear transformation",
"2nd Linear transformation",
"3rd Linear transformation",
"Abbreviation",
"About",
"Absolute",
"Accept file extensions",
"Action",
"Add Animation",
"Add attribute",
"Add Background",
"Add child tag",
"Add color",
"Add Column",
"Add combinator",
"Add component class",
"Add component to page",
"Add custom",
"Add Effect",
"Add element",
"Add group",
"Add option",
"Add property",
"Add Property",
"Add pseudo class",
"Add pseudo element",
"Add responsive",
"Add responsive width",
"Add Row",
"Add selector",
"Add Selector",
"Add track",
"Address",
"Adjacent sibling",
"Advanced CSS",
"After",
"Alias",
"Align",
"All",
"All borders",
"All Children",
"All Elements",
"All Files",
"All properties",
"All scroll",
"Alternate",
"Alternate in reverse",
"Amount",
"Angle",
"Animate",
"Animate motion",
"Animate transform",
"Animation",
"Animation path",
"Any link",
"Anywhere",
"Area",
"Arrow Down",
"Arrow Up",
"Article",
"As an example, please have a look at <a class=""desech-external-link"" href=""https://download.desech.com/font/Roboto+Mono.zip"">this file</a>",
"Assign as component hole",
"Assign component hole",
"Attention",
"Attribute name",
"Attribute value",
"Attributes:",
"Audio",
"Author",
"Auto",
"Autoplay",
"Avoid",
"Avoid page",
"Avoid region",
"Background",
"Background pan",
"Background pan bottom",
"Background pan bottom left",
"Background pan bottom right",
"Background pan left",
"Background pan right",
"Background pan top",
"Background pan top left",
"Background pan top right",
"Backwards",
"Baseline",
"Basic",
"Before",
"Bidirectional isolate element",
"Bidirectional text override",
"Black",
"Blend mode",
"Blend Mode",
"Blink",
"Blink 1",
"Blink 2",
"Block",
"Block tool",
"Blur",
"Blur out",
"Blur out contract",
"Blur out contract backward",
"Blur out expand",
"Blur out expand forward",
"Blur radius",
"Bold",
"Bolder",
"Bookmark",
"Border",
"Border box",
"Border color",
"Border radius and individual borders, are not supported with gradients and images, only solid colors",
"Border size",
"Both",
"Bottom",
"Bottom (end)",
"Bottom border",
"Bottom left corner",
"Bottom right corner",
"Bounce",
"Bounce bottom",
"Bounce in",
"Bounce in backward",
"Bounce in bottom",
"Bounce in forward",
"Bounce in left",
"Bounce in right",
"Bounce in top",
"Bounce left",
"Bounce out",
"Bounce out backward",
"Bounce out bottom",
"Bounce out forward",
"Bounce out left",
"Bounce out right",
"Bounce out top",
"Bounce right",
"Bounce top",
"Box shadow",
"Break all",
"Break spaces",
"Break word",
"Brightness",
"Button",
"Button text",
"Calculate",
"Can't access {{url}}",
"Can't move components outside the component folder",
"Cancel",
"Canonical",
"Canvas",
"Capitalize",
"Captions",
"Cell",
"Center",
"Change attribute",
"Change meta",
"Change properties",
"Change responsive",
"Change style",
"Change svg icon",
"Change tag",
"Change text",
"Chapters",
"Check Project Settings",
"Check Settings &raquo; Plugins to manage your plugins",
"Checkbox",
"Checkbox tool",
"Checked",
